nazwa;szerokość;wysokość
Wyszyńskiego 03;53.0228394028855;18.6834874749184
Ligi Polskiej 03;53.022751;18.690547
Kosynierów Kościuszkowskich 03;53.024119;18.69593
Olimpijska P&R 01;53.0263333517529;18.7021241337061
Heweliusza 01;53.0546443427309;18.5978499054909
Strobanda 03;53.0538688916189;18.6031472682953
Grasera 03;53.0510652211683;18.6039733886719
Hubego 03;53.0470899519479;18.6036756634712
Freytaga 03;53.0440383152456;18.6014440655708
Wiśniowieckiego 05;53.0415460521988;18.5995195806026
Elektryczna 05;53.0392520107917;18.5996925830841
Koniuchy 07;53.0336716184409;18.5999621450901
Długa 01;53.0317263755288;18.5959079861641
Żwirki i Wigury 05;53.0285514570797;18.5908473283052
Wybickiego 05;53.0253545260927;18.5915748775005
Bema 03;53.0216180874756;18.5958757996559
Targowisko 03;53.0181725655156;18.5999165475369
Aleja Solidarności 01;53.0134196977326;18.6030252277851
Ogród Zoobotaniczny 02;53.009469199115;18.5910773277283
Konopnickiej 02;53.0099581897544;18.5850155353546
Mickiewicza 01;53.011245999979;18.5802036523819
Zajezdnia Tramwajowa 03;53.0131631199552;18.5802492499352
Reja 03;53.0137069339377;18.5706925392151
Osiedle Zieleniec 01;53.0136698192547;18.5661140084267
Plac Skalskiego 01;53.0138255393411;18.5612605512142
Szosa Bydgoska 01;53.0150188367916;18.55608522892
Motoarena 00;53.0152213471473;18.5492630302906
Barbarka 01;53.0542;18.541617
Przysiecka 02;53.058713;18.546752
Osiedle Leśne - Polana 02;53.057907;18.560415
Wrzosy I 02;53.049764;18.573644
Zagonowa 02;53.046845;18.576643
Lniana 01;53.0476534934545;18.585986495018
Chabrowa 01;53.044705904431;18.5887344181538
Lisia 02;53.0418258443275;18.5803323984146
Św. Antoniego 02;53.039353;18.582222
Bartkiewiczówny 02;53.032777;18.587348
Żwirki i Wigury 03;53.0288486745269;18.5903638601303
Lelewela 01;53.024137;18.601512
Dekerta 01;53.020893;18.601907
Legionów 01;53.017537;18.603698
Dworzec Autobusowy 09;53.0153633458736;18.6057657748461
Dworzec Wschodni 01;53.0239219402142;18.6345505714417
Plac Daszyńskiego II 01;53.02207;18.645982
Plac Daszyńskiego 03;53.0213179967599;18.649930357933
Rydygiera 01;53.022866;18.660015
Jamontta 01;53.024716;18.670234
Ligi Polskiej 05;53.0236702648089;18.6890396475792
Witosa 01;53.025815;18.687974
Kolankowskiego 01;53.0285752506821;18.6920115351677
Dworzec Główny 03;53.001094;18.614714
Targowisko 02;53.0182798640754;18.5999675095081
Dębowa Góra 02;53.035887733534;18.6289930343628
Batorego 02;53.037237;18.62125
Polna 03;53.037419;18.612498
Wielki Rów 01;53.0333974186996;18.6114406585693
Kozacka 01;53.030587;18.610488
Sczanieckiego 01;53.026755;18.610926
Kościuszki 01;53.024514;18.611238
Sąd Rejonowy 01;53.0194625508221;18.6131304502487
Plac Armii Krajowej 03;52.998456;18.605284
Park Tysiąclecia 01;52.998457;18.61037
Dworzec Główny 05;53.000184;18.617336
Strzałowa 01;52.998611;18.622056
Brązowa 01;52.992548851444;18.6159564965188
Okólna 04;52.9865498213574;18.6165744066238
Lilii Wodnych 02;52.9868259335757;18.6220219731331
Łączna 00;52.9869115118581;18.6296769976616
Szosa Okrężna 03;53.0195851740596;18.5657800734043
Aula UMK 04;53.0179636149227;18.5696055740118
Akademiki 04;53.0175215076301;18.5742484778166
Od Nowa 04;53.0182060459219;18.5786506533623
Fałata 04;53.016481;18.580257
Sztuki Piękne 01;53.013829;18.581098
Kraszewskiego 03;53.0141071250136;18.5919517278671
Osiedle Młodych 03;53.0138328008859;18.5972195863724
Wały Gen. Sikorskiego 01;53.012537;18.602588
Plac Św. Katarzyny 01;53.0130993786984;18.6115814745426
Dworzec Miasto 01;53.0110321745007;18.6195610463619
Gołębia 01;53.015484;18.631452
Targowa 03;53.018349;18.639361
Plac Daszyńskiego 01;53.0215358047452;18.649195432663
Rydygiera 03;53.023143;18.659682
Przy Skarpie 01;53.024181;18.666531
Odrodzenia 03;53.015121;18.600966
Sztuki Piękne 03;53.013942;18.578943
Reja 01;53.0154726684384;18.5715615749359
Rubinkowo P&R 09;53.0273807149732;18.679183870554
Manhattan 02;53.02767;18.6648
Rubinkowo Centrum 02;53.0288841630405;18.6597928404808
Mocarskiego 01;53.027063;18.655916
Rydygiera 04;53.024315;18.657367
Leszczynowa 01;53.022646;18.654934
Plac Daszyńskiego 02;53.022624;18.64472
Galeria Copernicus 02;53.023266;18.640103
Dworzec Wschodni 02;53.024047;18.63536
Garbaty Mostek 01;53.019305;18.622073
Przy Kaszowniku 02;53.0172617271445;18.6150696873665
Lotnisko 01;53.027269;18.565709
Bluszczowa 01;53.0310537462458;18.5661515593529
Orzechowa 01;53.034619;18.576435
Przy Lesie 01;53.034994;18.583471
Dworzec Miasto 03;53.0108659547178;18.6192713677883
Gołębia 03;53.015382;18.631453
Targowa 01;53.0170681009206;18.6369431018829
Szubińska 01;52.976213;18.556124
Bliska 02;52.976292;18.560699
Gniewkowska 02;52.976457;18.566426
Stepowa 02;52.978885;18.571407
Kręta 02;52.981613;18.574313
Polmozbyt 02;52.984922;18.577807
Kluczyki Cmentarz 02;52.987614;18.580662
Kluczyki 02;52.989283;18.582635
Poznańska - Komisariat 02;52.992019;18.586325
Parkowa 02;52.993343;18.590953
Drzymały 01;52.9911643774393;18.594985306263
Letnia 02;52.9909238126938;18.6045581102371
63. Pułku Piechoty 02;52.995248;18.607443
Biała 02;52.995314;18.613572
Andersa 02;52.990613;18.617055
Dandelskiego 02;52.991221;18.626243
Łódzka 01;53.0014621980887;18.622550368309
Podgórska 01;53.002541;18.627094
Rudacka 01;53.0032473989268;18.6314928531647
Szkoła 01;53.005976;18.642575
Skrzetuskiego 01;53.005111;18.650276
Działki Rudak 01;53.005342;18.657673
Otłoczyńska 01;53.003625;18.658166
Rypińska 02;53.000611;18.656159
Port Drzewny 01;53.0198308183857;18.5109107268803
Starotoruńska 02;53.018941;18.52151
Centrum Handlowe - Zachód 02;53.016337;18.536763
Oczyszczalnia 02;53.015914;18.541204
Szosa Bydgoska 04;53.014787;18.556483
Plac Skalskiego 03;53.014685;18.560551
Łukasiewicza 02;53.017647;18.561104
Akademiki 02;53.0173456315718;18.5752522945404
Od Nowa 05;53.017837;18.580203
Fałata 01;53.0151108137243;18.581303358078
Stawki 01;52.9934843861081;18.6296367645264
Dandelskiego 01;52.9912305728725;18.6243259906769
Kniaziewicza 03;52.9946629092327;18.6169955134392
Biała 01;52.995464;18.610783
63. Pułku Piechoty 01;52.995326;18.607194
Letnia 01;52.990189;18.603104
Drzymały 04;52.990414;18.594723
Paderewskiego 01;52.990406;18.59024
Kluczyki 01;52.989952;18.583147
Kluczyki Cmentarz 01;52.986998268945;18.5797569367974
Polmozbyt 01;52.98475;18.577349
Kręta 01;52.981208;18.573612
Stepowa 01;52.978473;18.570722
Gniewkowska 01;52.976623;18.567407
Bliska 01;52.976455;18.562302
Szubińska 00;52.976405;18.555447
Przy Skarpie 01;53.023547;18.667369
Wianki 01;53.018611;18.674787
Turystyczna 01;53.015952;18.680192
Wieżowa 01;53.014148;18.683161
Księżycowa 01;53.011443;18.688791
Dożynkowa 01;53.007851;18.695215
Dyngusowa 01;53.008447223067;18.7035966664553
Fantazyjna 01;53.00836;18.707743
Skierki 01;53.005555;18.705028
Wodna 01;53.002601;18.70146
Złotoria - Pomorska 43;52.9982870699018;18.7009057402611
Złotoria - Pomorska 45;52.9967357403645;18.7045240402222
Złotoria - Toruńska 47;52.9942528514104;18.7097597122192
Złotoria - Lipowa 49;52.9916616479677;18.7167656421661
Złotoria 51;52.989276;18.72414
Złotoria - Akacjowa 53;52.988588;18.729105
Kopanino - Przy Dębie 55;52.985702;18.739515
Kopanino 56;52.984400606858;18.744124174118
Osiedle Leśne - Polana 01;53.059093;18.560633
Czeremchowa 02;53.050219;18.583459
Słoneczna 02;53.048215;18.591379
Bema 01;53.0208763271917;18.5965242236853
Targowisko 01;53.0180914863516;18.6002095788717
Plac Armii Krajowej 01;52.998745;18.606552
Dworzec Główny 00;53.000632;18.614442
Poznańska 02;52.9717082116508;18.556259572506
Poznańska - Osiedle 02;52.9697844046286;18.5565841197968
Poznańska 02;52.968427511909;18.561125099659
Baza Transportu 02;52.9705145245127;18.5649794340134
Osiedle Leśny Zakątek 02;52.974611;18.567651
Gniewkowska 04;52.97687;18.569279
Hallera 02;52.995107;18.600567
Stawki Południowe 01;52.991969;18.633775
Zimowa 01;52.991844;18.642843
Ceramika 01;52.9916987815761;18.6482566595078
Plac Daszyńskiego 05;53.0226474150389;18.6468994617462
Barwna 01;53.035507;18.692219
Szczecińska 01;53.038638;18.695404
Suwalska 01;53.041693;18.698253
Cegielnia 01;53.045936;18.701184
Bajeczna 01;53.0493271441054;18.7050068378448
Nad Strugą 00;53.0507809191759;18.712692496711
Bielawy 01;53.03268;18.690571
Donimirskiego 02;53.0294965297306;18.6533682166417
Wschodnia 03;53.0288744843579;18.6437237262726
Dworzec Wschodni 03;53.025218;18.633499
Świętopełka 02;53.0239509795896;18.6188596487045
Wybickiego 02;53.025579;18.5918
Żwirki i Wigury 01;53.028329;18.590199
Szpital Bielany 01;53.0278049765488;18.5847714543343
Św. Józefa 01;53.022488;18.583799
Łukasiewicza 01;53.016907;18.560114
Motoarena 01;53.0155150258152;18.5482531785965
Szosa Bydgoska 02;53.0149784959698;18.5560999810696
Plac Skalskiego 02;53.0137843905646;18.5612766444683
Osiedle Zieleniec 02;53.0136391592751;18.5661461949348
Reja 04;53.013670626096;18.5706925392151
Odrodzenia 01;53.0150688593583;18.6015366017818
Dworzec Autobusowy 02;53.0159192341197;18.6049953103065
Przy Kaszowniku 02;53.0179732960536;18.6125618219376
Sąd Rejonowy 02;53.0216229276314;18.6130875349045
Świętopełka 03;53.0236250921448;18.6179825663567
Szpital Miejski 01;53.0243833413105;18.6232048273087
Dworzec Wschodni 06;53.0249996106012;18.634067773819
Wschodnia 01;53.0296213496501;18.6420446634293
Tofama 01;53.034585;18.652202
Przychodnia 01;53.0363885210587;18.6576953530312
Elana A 01;53.0370586479227;18.6625635623932
Elana B 02;53.0367167313055;18.6663025617599
Lisia 03;53.042513;18.580987
Liliowa 02;53.0435061715332;18.5888323187828
Wiśniowieckiego 02;53.04027;18.598541
Traktorowa 02;53.039842;18.606478
Rolnicza 01;53.039281;18.610104
Grzybowa 01;53.002468;18.637796
Rudak 00;53.0011361407768;18.6426749825478
Wyszyńskiego 06;53.0235912126157;18.6829054355621
Rubinkowo P&R 02;53.026891;18.679424
Jamontta 02;53.025707;18.672528
Przy Skarpie 04;53.024604;18.666122
Forteczna 01;53.055335;18.617033
Katarzynka PKP 01;53.052217;18.614626
Rybińskiego 01;53.052849;18.609025
Strobanda 01;53.051767;18.603498
Grasera 01;53.050133;18.603983
Hubego 01;53.04622;18.60274
Freytaga 01;53.043563;18.600841
Koniuchy 01;53.0337159741175;18.5993948578835
Osiedle Tysiąclecia 01;53.029531;18.601236
Hallera 01;52.995262;18.600386
Środkowa 01;52.9936119264639;18.5953916609287
Gniewkowska 03;52.975993;18.568209
Osiedle Leśny Zakątek 01;52.974105;18.567199
Baza Transportu 01;52.9708456588904;18.5652074217796
Poznańska 01;52.969284;18.562627
Poznańska - Osiedle 01;52.969588950089;18.5570159554482
Poznańska 00;52.9713023975408;18.5559933638587
Dworzec Autobusowy 04;53.015366;18.605613
Legionów 02;53.0169261078041;18.6038634181023
Dekerta 02;53.019779;18.602471
Lelewela 02;53.023319;18.60182
Lecha 01;53.028603;18.600695
Żwirki i Wigury 02;53.0288825499269;18.5910250246525
Bartkiewiczówny 01;53.0327232025099;18.5880839824677
Bractwa Kurkowego 01;53.035355;18.585806
Św. Antoniego 01;53.040285;18.581994
Chabrowa 02;53.044877;18.58889
Lniana 02;53.047802;18.586156
Zagonowa 01;53.047776036555;18.5763493180275
Owsiana 01;53.049384;18.574742
Wrzosy I 00;53.050156;18.572602
Szosa Bydgoska 03;53.0151834269538;18.5561549663544
Oczyszczalnia 01;53.016245;18.541006
Centrum Handlowe - Zachód 01;53.016877;18.534557
Starotoruńska 01;53.01913;18.519987
Port Drzewny 00;53.0200571044592;18.5105506403191
Kosynierów Kościuszkowskich 04;53.024061;18.694134
Młyn Wiedzy 02;53.0251964277344;18.6279174685478
Zaułek Dworcowy 01;53.029795;18.62301
Towarowa 01;53.03274;18.626151
Orzechowa 02;53.0349361405691;18.5756707191467
Bluszczowa 02;53.030312;18.56561
Lotnisko 02;53.026437;18.565304
Uniwersytet 03;53.0236283187652;18.5649365186691
Rydygiera 05;53.023781;18.658275
Rubinkowo P&R 00;53.027585183763;18.6788640171289
Lotników 01;53.028695;18.608163
Świętopełka 01;53.0235637863107;18.6186718940735
Wschodnia - Pętla 01;53.0289083597375;18.6438095569611
Wschodnia 02;53.0295907010049;18.6418998241425
Dworzec Wschodni 05;53.0249350801981;18.633898794651
Szpital Miejski 02;53.024222012817;18.6218878626823
Świętopełka 04;53.0237218906527;18.6184224486351
Sąd Rejonowy 01;53.0216229276314;18.6130258440971
Przy Kaszowniku 01;53.0179926583089;18.6124411225319
Dworzec Autobusowy 01;53.0165638618847;18.6066287755966
Fałata 03;53.015839;18.580401
Od Nowa 03;53.0182237945605;18.5785903036594
Akademiki 03;53.0175570054632;18.5741686820984
Aula UMK 03;53.0180116171755;18.5695995390415
Szosa Okrężna 04;53.019637208157;18.5657431930304
Uniwersytet 00;53.022352;18.566002
Plac Daszyńskiego 06;53.0210017698758;18.6479884386063
Rypińska 01;52.999675;18.654983
Lipnowska 01;52.991824;18.652932
Włocławska 02;52.987765;18.665154
Solankowa 01;52.981609;18.670713
Matysiaków 01;52.9759060457019;18.6776429414749
Zdrojowa 01;52.9779474767188;18.6838281154633
Gardzielewskiego 01;52.9816004930874;18.6853891611099
Czerniewice 00;52.9837321552583;18.6839893700964
Elana A 02;53.0370909040674;18.6625662446022
Przychodnia 02;53.0364163424173;18.6576410382986
Tofama 02;53.034972;18.653099
Odrodzenia 02;53.0151003251366;18.601465523243
Osiedle Młodych 02;53.0138683017536;18.5971793532372
Kraszewskiego 04;53.0142200815006;18.5909003019333
Sztuki Piękne 02;53.0138715291037;18.5810860991478
Koniuchy 05;53.0326296501484;18.6008781194687
Strzałowa 03;52.998577;18.620984
Starotoruńska 03;53.0199030247764;18.5203528404236
Przysiek 01;53.030988;18.500451
Rozgarty 03;53.037812;18.481378
Górsk - Parking 01;53.0473132732833;18.4596410393715
Górsk - Prosta 11;53.0383424238494;18.4551912546158
Górsk - Kościół 21;53.0290519265274;18.451079428196
Górsk - Prosta 12;53.038600464648;18.4553951025009
Górsk III 11;53.0485515973081;18.4588471055031
Górsk - Leśniczanka 13;53.0521325398751;18.4451812505722
Górsk - Ośrodek Zdrowia 15;53.0588679686319;18.4248125553131
Zarośle Cienkie - Skrzyżowanie 17;53.0710561272799;18.3926475048065
Pędzewo I 19;53.0835952734836;18.3614534139633
Pędzewo II 21;53.0889275736204;18.3433485031128
Zławieś Wielka 23;53.0945475216595;18.3299133181572
Zławieś Wielka - Urząd Gminy 25;53.0961355998111;18.3310264348984
Gałczyńskiego 02;53.0161951585722;18.5873007774353
Arena Toruń 02;53.018442;18.591941
Obrowo 00;52.9715999896834;18.8781595230103
Zębówiec 55;52.969193192323;18.9046543836594
Bartoszewo 53;52.9753019961992;18.9108610153198
Kazimierzewo 51;52.9841842262205;18.9138543605804
Zębowo I 49;52.9912111986098;18.9166653156281
Zębowo II 47;52.9952699168135;18.9205008745193
Zębowo - Szkoła 45;53.0064237762873;18.9227700233459
Zębowo III 43;53.0040156904897;18.9055502414703
Łążyn I 41;53.0002386633797;18.8908624649048
Łążyn II 39;53.0014912525811;18.8641583919525
Dobrzejewice - Cmentarz 37;53.0037961800098;18.8485157489777
Dobrzejewice 35;53.0083733880923;18.8347882032394
Głogowo 01;53.013663;18.821285
Brzozówka 57;53.0208242945887;18.8005042076111
Lubicz Górny - DK10 12;53.026713;18.77174
Lubicz Dolny - DK10 06;53.031229;18.757696
Płocka 02;53.03421;18.716088
Słupska 02;53.032055;18.704898
Kusocińskiego 03;53.029827;18.701376
Gronowo 01;53.102805;18.790478
Brzeźno 02;53.08839;18.772686
Rogówko 02;53.07056;18.756067
Rogówko - Ogrodnik 02;53.065409;18.741564
Grębocin Ośrodek Zdrowia 02;53.061147;18.727723
Grębocin 03;53.058481;18.716053
Kolonia Papowska 01;53.0668151618126;18.6922764033079
Grębocin 02;53.057149;18.716862
Kresowa 02;53.053272;18.710147
Wapienna 02;53.0527536523778;18.6958826333284
Meprozet 02;53.0524227428076;18.7020885944366
Nad Rzeczką 02;53.051463;18.70499
Bajeczna 02;53.048949;18.704145
Cegielnia 02;53.046493;18.700978
Suwalska 02;53.040005;18.696256
Szczecińska 02;53.037553;18.693772
Barwna 02;53.034468;18.690584
Garbaty Mostek 03;53.019612;18.623607
Plac Św. Katarzyny 04;53.0136601371583;18.6138814687729
Kołowa 01;53.043872;18.685644
Na Zapleczu 01;53.040036;18.686725
Katarzynki 01;53.0374457200663;18.6876341700554
Chrzanowskiego 02;53.036457;18.685114
Bukowa 02;53.036168;18.674521
Niesiołowskiego 02;53.0303214232994;18.6774551868439
Dworzec Wschodni 08;53.025249261689;18.6333341896534
Reja 05;53.0131760295653;18.5714730620384
Przybyszewskiego 01;53.0098460290248;18.574191480875
Park Miejski 01;53.0098831469963;18.5795974731445
Konopnickiej 01;53.0099178442018;18.5850597918034
Ogród Zoobotaniczny 01;53.0094175562158;18.591126948595
Hallera 04;52.9951301286915;18.6022057341343
Lipnowska 02;52.993011;18.65212
Rudak 02;53.0012136199651;18.6426669359207
Grzybowa 02;53.002736;18.636869
Podgórska 02;53.0026340471079;18.6270108819008
Łódzka 02;53.0014573556713;18.6221989989281
Polna 02;53.038252109205;18.612280189991
Rolnicza 02;53.0399567662034;18.6071571707726
Traktorowa 01;53.039857;18.603603
Wiśniowieckiego 01;53.041298;18.597725
Ugory 01;53.04415764354;18.5928851366043
Lisia 01;53.0430756140855;18.5798898339272
Nad Rzeczką 01;53.051685;18.70472
Meprozet 01;53.052471;18.702461
Drwęca 02;53.001748;18.70096
Wodna 02;53.0032215737628;18.7024855613709
Skierki 02;53.005578;18.705241
Fantazyjna 02;53.008292;18.708034
Dyngusowa 02;53.008657;18.704245
Balladyny 02;53.008159;18.697228
Dożynkowa 02;53.008234;18.693562
Księżycowa 02;53.012045;18.688134
Wieżowa 02;53.014478;18.682565
Turystyczna 02;53.016483;18.680746
Wianki 02;53.0187074421524;18.6754810810089
Kopanino - Przy Dębie 54;52.9858635698958;18.7393391132355
Złotoria - Akacjowa 52;52.988756;18.728826
Złotoria 50;52.989507;18.72357
Złotoria - Lipowa 48;52.991728;18.716834
Złotoria - Toruńska 46;52.995261;18.708535
Złotoria - Pomorska 44;52.998216;18.701301
Żwirki i Wigury 01;53.028213;18.588999
Wybickiego 03;53.024768;18.593476
Popiela 02;53.026259;18.602842
Bielawy 00;53.032989;18.691247
Nad Strugą 01;53.0510684457359;18.7123560905457
Lubicz Górny - Osiedle 98;53.0237057575832;18.7661960721016
Lubicz Górny - Bankowa 08;53.024571;18.770125
Lubicz Dolny - Lipowa 02;53.031936065966;18.7395107746124
Odległa 02;53.0356538694127;18.7206012010574
Kusocińskiego 02;53.0306440340593;18.6984971165657
Kolankowskiego 02;53.029781;18.694116
Kresowa 01;53.052726;18.709867
Grębocin - Toruńska 01;53.054336;18.712019
Grębocin 01;53.058251;18.719534
Grębocin Ośrodek Zdrowia 01;53.061268;18.728774
Rogówko - Ogrodnik 01;53.065519;18.742374
Rogówko 01;53.07074;18.757094
